council_key,council_name,included,in_2015_full_year_list,reason,boundary_certification,evidence
sutherland,Sutherland,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
sydney,Sydney,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
tamworth,Tamworth Regional,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
temora,Temora,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
tenterfield,Tenterfield,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
tweed,Tweed,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
upperhunter,Upper Hunter,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
upperlachlan,Upper Lachlan,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
uralla,Uralla,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
waggawagga,Wagga Wagga,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
walcha,Walcha,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
walgett,Walgett,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
warren,Warren,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
warrumbungle,Warrumbungle,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
waverley,Waverley,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
weddin,Weddin,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
wentworth,Wentworth,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
willoughby,Willoughby,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
wingecarribee,Wingecarribee,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
wollondilly,Wollondilly,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
wollongong,Wollongong,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
woollahra,Woollahra,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
yassvalley,Yass Valley,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
